time,pos_x,pos_y,pos_z,euler_roll,euler_pitch,euler_yaw,task_vel_1,task_vel_2,task_vel_3,task_vel_4,task_vel_5,task_vel_6,task_acc_1,task_acc_2,task_acc_3,task_acc_4,task_acc_5,task_acc_6,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_acc_1,joint_acc_2,joint_acc_3,joint_acc_4,joint_acc_5,joint_acc_6,desired_pos_x,desired_pos_y,desired_pos_z,desired_euler_roll,desired_euler_pitch,desired_euler_yaw
0,0.49199873274356454,0.13399970614359175,0.5080003673187226,-1.5707926535897927,-3.6732051031940216e-06,-1.570796326808389,0.0,0.0,0.0,0.0,0.0,0.0,10.83522792328445,-8.900274702198603,-6.335438212925899,120.91995761497658,-120.91951345198693,120.9204017795978,0.0,-1.5708,1.5708,-1.5708,-1.5708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.751962966616674,-9.169617193177343,56.178376189509756,-167.92885528282804,120.92054045030089,-158.67192058240923,0.5,0.0,0.5,0.0,-0.0,0.0
0.002,0.4920112611309384,0.13399565702413796,0.5079601161579326,-1.5706192804152876,0.000732012784190772,-1.5708913158248903,0.006263073875243278,-0.0020248180058983715,-0.020114355095300157,0.3678319085952857,-0.08673359303156687,-0.04749419865919639,10.70378465979971,-8.866806604235505,-5.926410403349998,113.49187998866802,-119.21384526892771,121.83130576236321,-0.00012785388919950752,-1.5708434579526716,1.5709904178879146,-1.5711203090995864,-1.5700643082039678,-3.273526726040553e-05,-0.06392694459975376,-0.021728976335762488,0.09520894395733902,-0.16015454979324875,0.36784589801611994,-0.016367633630202764,-36.48061262484744,-8.723677688032229,54.24132315289678,-164.601106803574,113.53514398706308,-158.29186501774302,0.5,0.0,0.5,0.0,-0.0,0.0
0.004,0.49203574749194107,0.1339872600997157,0.5078803869724102,-1.5702845520977098,0.002162984819650937,-1.5710795630875993,0.012238761641647528,-0.004199495994964766,-0.03982214744817191,0.7154283018726008,-0.16761031927375,-0.09424625398756396,10.572141636298769,-8.837034617220363,-5.519008432638918,106.40098481340856,-117.65312245254775,122.69068747220291,-0.00037759847374261863,-1.5709275179665738,1.5713636510501676,-1.5717440316663405,-1.5686332939758456,-9.325542685052854e-05,-0.12487229227155555,-0.04203000695115973,0.18661658112649399,-0.31186128337698993,0.7155071140611113,-0.0302600797950615,-35.2756970925454,-8.29580217183352,52.34915871469923,-161.32472458405013,106.52620008002718,-157.91227884453207,0.5,0.0,0.5,0.0,-0.0,0.0
0.006,0.492071616198364,0.1339742300398102,0.5077619782836951,-1.5698003321844574,0.004250904951263568,-1.5713583113258647,0.017924520251373408,-0.00651740119198399,-0.05911403818729883,1.0438028012167322,-0.2427849158352248,-0.13989827209140687,10.440564478910463,-8.810753554741172,-5.113650588610664,99.63077075515436,-116.23302763177878,123.49348674274286,-0.0007435761099803146,-1.571049414249305,1.5719124085939025,-1.5726545528000575,-1.5665452431563565,-0.0001773592265641666,-0.18298881811884798,-0.060948141365550074,0.2743787718674327,-0.4552605668585522,1.0440254097445862,-0.04205189985681902,-34.13373147935086,-7.885936596582436,50.50044673148558,-158.10375427372006,99.87399749454589,-157.5293218988489,0.5,0.0,0.5,0.0,-0.0,0.0
0.008,0.4921182886017653,0.13395629294168007,0.5076057078857448,-1.569178303678046,0.006959365599000122,-1.5717240065611744,0.023318880709179615,-0.00897290427152049,-0.0779833451738811,1.3539069460055122,-0.3124115403192584,-0.18417101274391523,10.309279993846205,-8.787736857852883,-4.710697595523442,93.16583937477098,-114.9492427425551,124.23603726881497,-0.0012204156458335046,-1.5712064713286962,1.5726296881677606,-1.5738355685813303,-1.563836496939362,-0.00028148199513222227,-0.23841976792659503,-0.07852853969560153,0.35863978692906545,-0.5905078906364597,1.3543731084971593,-0.05206138428402782,-33.05138699340573,-7.494005452019342,48.69392709562097,-154.94171725911215,93.5601142678234,-157.1402398939017,0.5,0.0,0.5,0.0,-0.0,0.0
0.01,0.49217518487962575,0.133933184497279,0.5074124075069644,-1.5684299403715385,0.010253763988014253,-1.5721724970211097,0.028421286082011925,-0.011561313788143734,-0.09642570115229994,1.6466332526672494,-0.37664491002684897,-0.22685210328482983,10.178481430617637,-8.767739291369152,-4.310458935724501,86.99183628605812,-113.79743836272233,124.91585223072569,-0.0018030142299425595,-1.571396103819877,1.573508755219508,-1.5752711119213674,-1.5605415823214481,-0.0004026000571640374,-0.2912992920545274,-0.09481624559034478,0.43953352587369593,-0.717771670018554,1.6474573089569544,-0.06055903101590759,-32.02549045559605,-7.119915321200479,46.928491161108234,-151.8416487545539,87.56734600539644,-156.7431758292111,0.5,0.0,0.5,0.0,-0.0,0.0
0.012,0.49224172559372675,0.13390464827560894,0.5071829181492172,-1.5675664779134537,0.014101182943302426,-1.572699204668168,0.03323195652667348,-0.014278804512779159,-0.11443875595381608,1.9228182704881391,-0.435640883655632,-0.26778585713336583,10.048333033598706,-8.750499584532168,-3.913198405902053,81.09539285403338,-112.77327199935966,125.53143987391292,-0.0024865200435964857,-1.5716158158545974,1.574543124425405,-1.5769455743339358,-1.5566933345494036,-0.0005381495418311038,-0.34175290682696297,-0.10985601736026321,0.5171846029484989,-0.8372312062841585,1.9241238860223038,-0.06777474233353316,-31.053022336946313,-6.763557437565964,45.20315991648146,-148.80613418929326,81.87963720159314,-156.33700987023693,0.5,0.0,0.5,0.0,-0.0,0.0
0.014,0.49231733301084274,0.13387043413449295,0.5069180860177329,-1.5665988862570417,0.01847027819342273,-1.573299272430829,0.037751776849511184,-0.017122342394918524,-0.13202191719389456,2.183245599400455,-0.4895566435370619,-0.3068644861378842,9.918973978500416,-8.735742983258653,-3.51913900383218,75.46406903661703,-111.87239249510746,126.08214500051575,-0.003266315984700977,-1.571863200264554,1.5757265430516478,-1.5788437239536832,-1.5523230119726532,-0.0006859574102795773,-0.38989797055224573,-0.12369220497834252,0.5917093131214479,-0.949074809873764,2.185161288375159,-0.07390393422423674,-30.131113669479255,-6.424809494945635,43.517064720292176,-145.83734386532882,76.4820155328833,-155.9212236038527,0.5,0.0,0.5,0.0,-0.0,0.0
0.016,0.49240143222731203,0.13383029677012778,0.5066187589665534,-1.5655378446192436,0.023331172212373907,-1.5739676898830501,0.0419822028405127,-0.020089608212217946,-0.1491761245352119,2.428648844370666,-0.538550599579504,-0.34402052182195314,9.790521776962928,-8.72318369179336,-3.128467230247839,70.08629779593633,-111.09044841068246,126.568012838758,-0.0041380043133542425,-1.5721359375906183,1.5770529760326093,-1.5809507201229573,-1.5474604036894704,-0.0008441828560112617,-0.43584416432663264,-0.13636866303208983,0.663216490480774,-1.0534980846370254,2.4313041415914673,-0.0791127228658422,-29.257042111743974,-6.103536908271692,41.869430399345205,-142.9370658666329,71.36052905112808,-155.49578515762138,0.5,0.0,0.5,0.0,-0.0,0.0
0.018000000000000002,0.4924934521319138,0.13378399440847533,0.5062857833936905,-1.564393719664742,0.02865535453438328,-1.5746993998264587,0.04592518323165197,-0.0231789214488467,-0.16590365315932612,2.6597144883157506,-0.5827821071074152,-0.37922028379942446,9.663075221063497,-8.712527189754764,-2.741336880394489,64.95133136936273,-110.42309878025034,126.9896722115979,-0.005097392253708642,-1.5724317949739337,1.5785165925735904,-1.583252124862625,-1.5421339303574046,-0.0010112675118701554,-0.4796939701771995,-0.14792869165768302,0.7318082704906279,-1.1507023698338505,2.663236666032846,-0.08354232792944685,-28.428227394070543,-5.799593678906763,40.259560503421035,-140.1067372095536,66.50218618878107,-155.0610521688998,0.5,0.0,0.5,0.0,-0.0,0.0
